id,name,description,city,state
316718,L. BARRETT CONSULTING LLC,,ROCKVILLE,MD
316731,"DAIICHI SANKYO, INC.",,Basking Ridge,NJ
316753,THE CRISCOM COMPANY,Governmental affairs consulting,Chatsworth,CA
316775,"STRATEGIC ENERGY INITIATIVES, LLC","government relations, legislative advocacy",Washington,DC
316797,"SOBBA PUBLIC, LLC",business consulting,Houston,DC
316811,MR. GEORGE WATERS,Consulting,WASHINGTON,DC
316833,"CHRISTIAN, SHANNON",06/30/2007,ARLINGTON,VA
316855,"LEWIN & LEWIN, LLP",,Washington,DC
316877,MAGO AND ASSOCIATES INC.,,Dallas,TX
316890,DELOITTE LLP,Professional services firm,Washington,DC
316935,DAVID ISRAELITE,Auction House,Chevy Chase,MD
316957,GENOCIDE INTERVENTION NETWORK,,WASHINGTON,DC
316970,INTERNATIONAL SPEEDWAY CORPORATION,Motorsports Entertainment,Daytona Beach,FL
316992,SYLVESTER LARKINS,,Martinez,GA
317014,"SPARTAMATRIX, INC.",Commercial security/surveillance,Durham,NC
317036,"BALDWIN CONSULTING, INC.",Government relations and strategic planning consulting.,Washington,DC
317058,"GENASCI, MATTHEW",,WASHINGTON,DC
317071,"IRAQ AND AFGHANISTAN VETERANS OF AMERICA, INC.",,Washington,DC
317093,JACKIE BELL,Contract Lobbyist,Arlington,VA
317116,KEYMER GROUP STRATEGIC COMMUNICATIONS,,JACKSONVILLE,FL
317138,ROBERT GIROUX,,Sacramento,CA
317151,"EMPOWERING VETERNS, INC.",,FAIRFAX STATION,VA
317173,"TOSI MARITIME CONSULTANTS, LLC",Government Relations in the U.S. Maritime field.,Washington,DC
317195,PINNEY ASSOCIATES,,Bethesda,MD
317218,LEARY VENTURES,,Washington,DC
317231,"FAY, THOMAS FORTUNE",,WASHINGTON,DC
317253,CONLIFFE SANDMANN & SULLIVAN,,Louisville,KY
317275,INTEGRATED SOLUTIONS GROUP,Government Relations/Lobbying,Washington,DC
317297,COMMERCIAL REAL ESTATE FINANCE COUNCIL,,Washington,DC
317311,LANXESS CORPORATION,Specialty Chemicals,PITTSBURGH,PA
317333,"FUCHS, AMANDA",,WASHINGTON,DC
317355,JOSE FUENTES,Consulting and lobbying.,Washington,DC
317377,"MERCER STRATEGIC ALLIANCE, INC.",Government Relations Consulting,Fredericksburg,VA
317390,SCHIFF & HARDIN LLP,Law Firm,Washington,DC
317413,"RUBIN MEYER, LLC",Public Relations and Government Affairs,Washington,DC
317435,"VILSACK, THOMAS",,DES MOINES,IA
317457,ROBERT WAGER,,Washington,DC
317470,"DAVIS, MARCUS",,ATLANTA,GA
317492,"EASTPOINT STRATEGIES, LLC","Business Development, Government Relations and Public Affairs",Manchester,NH
317515,MANUFACTURERS ASSOCIATION OF CENTRAL NEW YORK,,Syracuse,NY
317537,AMERIGROUP CORPORATION,,Washington,DC
317550,THE CARRIE MEEK GROUP,Congressional,MIAMI,FL
317572,"CAROLINA COMMERCE STRATEGIES, LLC",,SULLIVAN'S ISLAND,SC
317594,THE SAME PAGE,,Vienna,VA
317617,MS. DORCAS R HARDY,,SPOTSYLVANIA,VA
317630,RODERICK HSIAO,,Foster City,CA
317652,"HILL PARTNER, LLC","Lobbying, client advocacy in support of legislative or executive branch matters",Washington,DC
317674,9/11 SECURITY SOLUTIONS LLC,,ALEXANDRIA,VA
317696,AURA RENEWABLE ENERGY CORPORATION,,SAINT LOUIS,MO
317710,"AMYRIS BIOTECHNOLOGIES, INC.",,EMERYVILLE,CA
317732,FRANKLIN CREEK CONSULTING,Consulting and Lobbying Firm,Washington,DC
317754,"SORINI, SAMET & ASSOCIATES, LLC",Consulting and Government Affairs,Washington,DC
317776,CREATIVE GOVERNMENT SOLUTIONS LLC,Government Relations Consulting,Alexandria,VA
317798,WESLEY SMITH,Director of Public Policy,Cedar Hills,UT
317812,"LONG, CHRISTOPHER",,MCLEAN,VA
317834,"NEXEN, INC.",,Calgary,AB
317856,RENTECH INC,Alternative fuels and power production,Arlington,VA
317878,"JEFFERSON FIFTHCO., LLC",,Chatham,NJ
317891,INSTITUTE OF MANAGEMENT ACCOUNTANTS,,MONTVALE,NJ
317914,SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION,,Washington,DC
317936,"STAND UP FOR STEEL (""SUFS"")",,Washington,DC
317958,"BEIRNE STRATEGIES, INC.",,Houston,TX
317971,THE WILLIAM MILLER GROUP,,Washington,DC
317993,A.G. KAFFES AND ASSOCIATES LLC,To provide government relations and public relations consulting services.,Washington,DC
318015,COMMUNITY FOOD SECURITY COALITION,"Support development of strong, resilient local and regional food systems",Washington,DC
318037,GERALD BAKER,,Mattapoisett,MA
318050,SOMOS UNOS,,WASHINGTON,DC
318072,"SQUIRE SANDERS PUBLIC ADVOCACY, LLC",advocacy,Washington,DC
318094,BROOKFIELD ATLANTIC CORPORATION,"Engineering , Defense and Public Affairs firm",Boston,MA
318117,POPULATION SERVICES INTERNATIONAL,,Washington,DC
318130,CLAUDIA SCHLOSBERG,"Government Relations, Health Care Policy, Regulatory Counsel",Washington,DC
318152,HOLME ROBERTS AND OWEN LLP,,Denver,CO
318174,"EID PASSPORT, INC.",Identity Management Solutions,Alexandria,VA
318196,"SYNERGY GROUP, LTD","Business Development, Management and Technical Assistance",AUSTIN,TX
318210,MICHAEL PUNKE,writer and consultant,Missoula,MT
318232,DEAN D'AMORE,Self Employed Consultant,New Hartford,NY
318254,MULTIPLE  STRATEGIES LLC,Government Relations Firm,Naples,FL
318276,UNIVERSITY OF NORTHERN IOWA,,Cedar Falls,IA
318298,CHRISTOPHER HEINZ,Consulting and Lobbying,Kingston,MA
318312,MOONRAKER ASSOCIATES LLC,,Park City,UT
318334,HODGES CONSULTING GROUP,Consulting,Columbia,SC
318356,"WATSON GREEN LLC (FORMERLY WATSON/MULHERN, LLC)","Address policy and public affairs needs in food, agriculture and nutrition.",Arlington,VA
318378,"ABELL, HENRY & ASSOCIATES, LLC",Business Consulting and Lobbying,Arlington,VA
318391,EDUCATION PRIORITIES,Public Policy Consulting Practice,WASHINGTON,DC
318414,DISCOVER FINANCIAL SERVICES,"Credit card, debit card and other consumer financial services.",Washington,DC
318436,POTLATCHDELTIC CORPORATION,,Spokane,WA
318458,"HILL, JOHN ALBERT JR",,WASHINGTON,DC
318471,THE JANE GOODALL INSTITUTE,,Arlington,VA
318493,DENNO STRATEGIES LLC,,Arlington,VA
318516,SALLY ERICSSON,,WASHINGTON,DC
